 Current-A, Current-B, Current-C
2.4799,3.0415,2.0147
2.4799,3.0415,2.0147
2.4799,3.0415,2.0147
2.4799,3.0415,2.0147
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.3761,3.094,2.0696
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.2442,3.1465,2.1441
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1807,3.1331,2.2186
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.1026,3.1233,2.3004
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
2.0562,3.1282,2.3407
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
1.9805,3.1013,2.4322
