 Current-A, Current-B, Current-C
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3309,1.9878,3.0818
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.3455,1.9853,3.0757
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
2.2906,2.0806,3.0427
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9548,3.0598,2.4921
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
1.9976,3.0757,2.4396
