 Current-A, Current-B, Current-C
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6227,1.7863,2.9573
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6068,1.7924,2.9646
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.6215,1.7998,2.9463
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
2.5873,1.7741,2.9963
