 Current-A, Current-B, Current-C
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.6203,1.7387,3.0281
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
2.5262,1.8046,3.0525
